Vehicle,Origin,Manufacturer,Payload mass to … (kg),Launches[a],Date of flight
Alpha,United States,Firefly Aerospace,"7003100000000000000♠1,000[1]",,7002600000000000000♠600 to SSO,5000000000000000000♠0,2019[2],
Angara 1.2,Russia,Khrunichev,"7003350000000000000♠3,500[3]",,"7003240000000000000♠2,400 to SSO",5000000000000000000♠0,2020[4][c],
Angara A5,Russia,Khrunichev,"7004240000000000000♠24,000[3]","7003750000000000000♠7,500 with KVTK 7003540000000000000♠5,400 with Briz-M [3]",,7000100000000000000♠1,2014,2014
Antares 230,United States,NG Innovation,"7003780000000000000♠7,800[6]",,"7003300000000000000♠3,000 to SSO[d]",7000400000000000000♠4[7],2016,2018
Ariane 5 ECA,Europe,EADS Astrium,"7004210000000000000♠21,000[8]","7004108650000000000♠10,865[9][e]",,7001690000000000000♠69[11],2002,2018
Ariane 6 A62,Europe,ArianeGroup,"7004103500000000000♠10,350[12]:45","7003500000000000000♠5,000[12]:33","7003645000000000000♠6,450 to SSO 7003300000000000000♠3,000 to HEO 7003300000000000000♠3,000 to TLI [12]:40–49",5000000000000000000♠0,2020[13][14],
Ariane 6 A64,Europe,ArianeGroup,"7004216500000000000♠21,650[12]:46","7004115000000000000♠11,500+ [12]:33","7004149000000000000♠14,900 to SSO 7003500000000000000♠5,000 to GEO 7003840000000000000♠8,400 to HEO 7003850000000000000♠8,500 to TLI [12]:40–49",5000000000000000000♠0,2021–2022[13] (TBA),
Atlas V 401,United States,ULA,"7003905000000000000♠9,050[15]","7003495000000000000♠4,950","7003667000000000000♠6,670 to SSO",7001380000000000000♠38[15],2002,2018
Atlas V 411,United States,ULA,"7003905000000000000♠9,050[15]","7003607500000000000♠6,075","7003849500000000000♠8,495 to SSO",7000500000000000000♠5[15],2006,2018
Atlas V 421,United States,ULA,"7003905000000000000♠9,050[15]","7003700000000000000♠7,000","7003905000000000000♠9,050 to SSO",7000700000000000000♠7[15],2007,2017
Atlas V 431,United States,ULA,"7003905000000000000♠9,050[15]","7003780000000000000♠7,800","7003905000000000000♠9,050 to SSO",7000300000000000000♠3[15],2005,2016
Atlas V 501,United States,ULA,"7003825000000000000♠8,250[15]","7003397000000000000♠3,970","7003594500000000000♠5,945 to SSO 1,500 to GEO",7000600000000000000♠6[15],2010,2015
